SHARDS_size, SHARDS_hitRate
92771385344,0.7344605
93200842752,0.7344605
93630365696,0.7344605
94059888640,0.7344605
94489346048,0.7344605
94918868992,0.7344605
95348391936,0.7344605
95777849344,0.7344605
96207372288,0.7344605
96636829696,0.7344605
97066352640,0.7344605
97495875584,0.7344605
97925332992,0.7344605
98354855936,0.7344605
98784313344,0.7344605
99213836288,0.7344605
99643359232,0.7344605
100072816640,0.7344605
100502339584,0.7344605
100931862528,0.7344605
101361319936,0.7344605
101790842880,0.7344605
102220300288,0.7344605
102649823232,0.7344605
103079346176,0.7344605
103508803584,0.7344605
103938326528,0.7344605
104367783936,0.7344605
104797306880,0.7344605
105226829824,0.7344605
105656287232,0.7344605
106085810176,0.7344605
106515267584,0.7344605
106944790528,0.7344605
107374313472,0.7344605
107803770880,0.7344605
108233293824,0.7344605
108662751232,0.7344605
109092274176,0.7344605
109521731584,0.7344605
109951254528,0.7344605
110380711936,0.7344605
110810234880,0.7344605
111239692288,0.7344605
111669215232,0.7344605
112098672640,0.7344605
112528195584,0.7344605
112957652992,0.7344605
113387175936,0.7344605
113816633344,0.7344605
114246156288,0.7344605
114675613696,0.7344605
115105136640,0.7344605
115534659584,0.7344605
115964116992,0.7344605
116393639936,0.7344605
116823097344,0.7344605
117252620288,0.7344605
117682077696,0.7344605
118111600640,0.7344605
118541058048,0.7344605
118970580992,0.7344605
119400038400,0.7344605
119829561344,0.7344605
120259018752,0.7344605
120688541696,0.7344605
121117999104,0.7344605
121547522048,0.7344605
121976979456,0.7344605
122406502400,0.7344605
122835959808,0.7344605
123265482752,0.7344605
123694940160,0.7344605
124124463104,0.7344605
124553920512,0.7344605
124983443456,0.7344605
125412900864,0.7344605
125842423808,0.7344605
126271881216,0.7344605
126701404160,0.7344605
127130861568,0.7344605
127560384512,0.7344605
127989841920,0.7344605
128419364864,0.7344605
128848822272,0.7344605
129278345216,0.7344605
129707868160,0.7344605
130137325568,0.7344605
130566848512,0.7344605
130996305920,0.7344605
131425828864,0.7344605
131855286272,0.7344605
132284809216,0.7344605
132714266624,0.7344605
133143789568,0.7344605
133573246976,0.7344605
134002769920,0.7344605
134432227328,0.7344605
134861750272,0.7344605
135291207680,0.7344605
135720730624,0.7344605
136150188032,0.7344605
136579710976,0.7344605
137009168384,0.7344605
137438691328,0.7344605
137868148736,0.7344605
138297671680,0.7344605
138727129088,0.7344605
139156652032,0.7344605
139586109440,0.7344605
140015632384,0.7344605
140445089792,0.7344605
140874612736,0.7344605
141304135680,0.7344605
141733593088,0.7344605
142163116032,0.7344605
142592573440,0.7344605
143022096384,0.7344605
143451553792,0.7344605
